day,date,death,daily_deaths
210,2020-10-18,934,5
211,2020-10-19,935,1
212,2020-10-20,942,7
213,2020-10-21,950,8
214,2020-10-22,953,3
215,2020-10-23,960,7
216,2020-10-24,965,5
217,2020-10-25,967,2
218,2020-10-26,976,9
219,2020-10-27,980,4
220,2020-10-28,991,11
221,2020-10-29,994,3
222,2020-10-30,1007,13
223,2020-10-31,1018,11
224,2020-11-01,1026,8
225,2020-11-02,1036,10
226,2020-11-03,1045,9
227,2020-11-04,1059,14
228,2020-11-05,1082,23
229,2020-11-06,1088,6
230,2020-11-07,1104,16
231,2020-11-08,1118,14
232,2020-11-09,1130,12
233,2020-11-10,1144,14
234,2020-11-11,1158,14
235,2020-11-12,1176,18
236,2020-11-13,1198,22
237,2020-11-14,1208,10
238,2020-11-15,1215,7
239,2020-11-16,1236,21
240,2020-11-17,1264,28
241,2020-11-18,1290,26
242,2020-11-19,1302,12
243,2020-11-20,1325,23
244,2020-11-21,1350,25
245,2020-11-22,1383,33
246,2020-11-23,1400,17
247,2020-11-24,1428,28
248,2020-11-25,1451,23
249,2020-11-26,1469,18
250,2020-11-27,1504,35
251,2020-11-28,1527,23
252,2020-11-29,1540,13
253,2020-11-30,1568,28
254,2020-12-01,1589,21
255,2020-12-02,1629,40
256,2020-12-03,1673,44
257,2020-12-04,1706,33
258,2020-12-05,1738,32
259,2020-12-06,1749,11
260,2020-12-07,1756,7
261,2020-12-08,1789,33
262,2020-12-09,1823,34
263,2020-12-10,1846,23
264,2020-12-11,1889,43
265,2020-12-12,1913,24
266,2020-12-13,1957,44
267,2020-12-14,1978,21
268,2020-12-15,2006,28
269,2020-12-16,2049,43
270,2020-12-17,2097,48
271,2020-12-18,2128,31
272,2020-12-19,2155,27
273,2020-12-20,2171,16
274,2020-12-21,2180,9
275,2020-12-22,2203,23
276,2020-12-23,2243,40
277,2020-12-24,2272,29
278,2020-12-25,2307,35
279,2020-12-26,2316,9
280,2020-12-27,2346,30
281,2020-12-28,2380,34
282,2020-12-29,2403,23
283,2020-12-30,2436,33
284,2020-12-31,2477,41
285,2021-01-01,2502,25
286,2021-01-02,2534,32
287,2021-01-03,2551,17
288,2021-01-04,2574,23
289,2021-01-05,2594,20
290,2021-01-06,2641,47
291,2021-01-07,2680,39
292,2021-01-08,2710,30
293,2021-01-09,2732,22
294,2021-01-10,2749,17
295,2021-01-11,2764,15
296,2021-01-12,2794,30
297,2021-01-13,2807,13
298,2021-01-14,2836,29
299,2021-01-15,2874,38
300,2021-01-16,2910,36
301,2021-01-17,2932,22
302,2021-01-18,2958,26
303,2021-01-19,2975,17
304,2021-01-20,3009,34
305,2021-01-21,3044,35
306,2021-01-22,3077,33
307,2021-01-23,3115,38
308,2021-01-24,3145,30
309,2021-01-25,3157,12
310,2021-01-26,3171,14
311,2021-01-27,3198,27
312,2021-01-28,3226,28
313,2021-01-29,3248,22
314,2021-01-30,3265,17
315,2021-01-31,3283,18
316,2021-02-01,3295,12
317,2021-02-02,3310,15
318,2021-02-03,3338,28
319,2021-02-04,3355,17
320,2021-02-05,3378,23
321,2021-02-06,3386,8
322,2021-02-07,3399,13
323,2021-02-08,3412,13
324,2021-02-09,3430,18
325,2021-02-10,3461,31
326,2021-02-11,3479,18
327,2021-02-12,3502,23
328,2021-02-13,3516,14
329,2021-02-14,3529,13
330,2021-02-15,3538,9
331,2021-02-16,3550,12
332,2021-02-17,3562,12
333,2021-02-18,3580,18
334,2021-02-19,3599,19
335,2021-02-20,3610,11
336,2021-02-21,3624,14
337,2021-02-22,3635,11
338,2021-02-23,3644,9
339,2021-02-24,3658,14
340,2021-02-25,3671,13
341,2021-02-26,3685,14
342,2021-02-27,3700,15
343,2021-02-28,3716,16
344,2021-03-01,3729,13
345,2021-03-02,3740,11
346,2021-03-03,3753,13
347,2021-03-04,3769,16
348,2021-03-05,3787,18
349,2021-03-06,3796,9
350,2021-03-07,3808,12
